,canonical_smiles,molecule_chembl_id,standard_value,bioactivity_class,pIC50
62,Cc1cc2occ(C(=O)N(C)CCN(C)C(=O)c3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2cc1C,CHEMBL3742137,60000.0,inactive,4.221848749616356
63,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740948,10000.0,inactive,5.0
64,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740948,10000.0,inactive,4.698970004336019
65,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740948,20000.0,inactive,5.0
66,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740948,20000.0,inactive,4.698970004336019
67,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741720,60000.0,inactive,4.221848749616356
68,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741720,60000.0,inactive,4.221848749616356
69,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741720,60000.0,inactive,4.221848749616356
70,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741720,60000.0,inactive,4.221848749616356
71,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,CHEMBL3740702,15000.0,inactive,4.823908740944319
72,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,CHEMBL3740702,15000.0,inactive,4.3979400086720375
73,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,CHEMBL3740702,40000.0,inactive,4.823908740944319
74,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,CHEMBL3740702,40000.0,inactive,4.3979400086720375
75,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741275,20000.0,inactive,4.698970004336019
76,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741275,20000.0,inactive,4.3979400086720375
77,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741275,40000.0,inactive,4.698970004336019
78,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741275,40000.0,inactive,4.3979400086720375
79,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,CHEMBL3741940,20000.0,inactive,4.698970004336019
80,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,CHEMBL3741940,20000.0,inactive,4.3979400086720375
81,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,CHEMBL3741940,40000.0,inactive,4.698970004336019
82,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,CHEMBL3741940,40000.0,inactive,4.3979400086720375
83,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3740051,25000.0,inactive,4.6020599913279625
84,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3740051,25000.0,inactive,4.698970004336019
85,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3740051,20000.0,inactive,4.6020599913279625
86,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3740051,20000.0,inactive,4.698970004336019
87,Nc1cccc(S(=O)(=O)n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740334,20000.0,inactive,4.698970004336019
88,Nc1cccc(S(=O)(=O)n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740334,20000.0,inactive,4.3979400086720375
